"","Lineage code","Ancestor code","Start date","End date","Species in lineage"
"1","N1",NA,70.6,69.2,"Muricohedbergella holmdelensis"
"2","N101","N76",60.8,60.2,"Morozovella praeangulata-Morozovella angulata"
"3","N102","F8351",58.1542939100368,56.2,"Acarinina subsphaerica"
"4","N103","N102",56.2,55.7,"Acarinina mckannai-Acarinina soldadoensis"
"5","N104","N103",55.7,55.45,"Acarinina esnehensis"
"6","N106","N104",55.45,55.4,"Acarinina sibaiyaensis"
"7","N109","F7223",52.9316634557606,52.6,"Acarinina soldadoensis"
"8","N110","F4467",50.5075673348131,49.55,"Acarinina interposita-Acarinina pentacamerata"
"9","N112","F2390",43.218481428877,41.6,"Acarinina pentacamerata-Acarinina collactea"
"10","N115","N109",52.6,51.6,"Acarinina soldadoensis"
"11","N117","N115",51.6,50.8,"Acarinina soldadoensis"
"12","N119","F118",48.4727258438556,43.2,"Acarinina alticonica-Acarinina pseudosubsphaerica"
"13","N122","F50023",2.57073995570419,2,"Globorotalia scitula"
"14","N125","F4390",57.4861398132134,56.2,"Acarinina nitida"
"15","N126","F5823",39.4297365631775,39,"Acarinina coalingensis-Acarinina primitiva"
"16","N128","N125",56.2,54.6,"Acarinina esnaensis-Acarinina wilcoxensis"
"17","N13","F25661",48.9196248977633,48.7,"Globanomalina australiformis"
"18","N130","F6143",53.2267801744025,53.2,"Acarinina pseudotopilensis"
"19","N131","F6571",48.2474479877558,47.25,"Acarinina pseudotopilensis"
"20","N133","F1204",45.4929882943694,44.65,"Acarinina boudreauxi-Acarinina bullbrooki"
"21","N136","F4790",45.4182732649823,45,"Acarinina praetopilensis-Acarinina mcgowrani"
"22","N137","N136",45,44.5,"Morozovelloides bandyi-Morozovelloides coronatus-Morozovelloides crassatus"
"23","N139","F57741",44.1653965178762,44,"Morozovelloides bandyi-Morozovelloides coronatus-Morozovelloides crassatus"
"24","N142","N136",45,44.35,"Acarinina praetopilensis"
"25","N144","F8450",42.4217496907245,41.7,"Acarinina praetopilensis-Acarinina topilensis"
"26","N145","N144",41.7,41,"Acarinina topilensis"
"27","N149","N126",39,37.2,"Dentoglobigerina galavisi"
"28","N15","F90470",40.8104731705203,40,"Turborotalia frontosa-Turborotalia possagnoensis-Turborotalia pomeroli-Turborotalia cerroazulensis-Turborotalia altispiroides"
"29","N150","F63344",23.8212006200942,23.2,"Paragloborotalia pseudokugleri-Paragloborotalia kugleri"
"30","N151","F63383",22.4415224366469,22,"Paragloborotalia kugleri"
"31","N152","F24963",13.6100208214055,13.1,"Fohsella peripheroronda-Paragloborotalia birnageae-Fohsella peripheroacuta-Fohsella praefohsi"
"32","N156","F62913",12.2709147516103,10.8,"Paragloborotalia continuosa"
"33","N157","F63065",8.21286876679305,8,"Paragloborotalia continuosa-Neogloboquadrina acostaensis"
"34","N160","F62962",5.83133780304575,5.7,"Paragloborotalia continuosa-Neogloboquadrina acostaensis"
"35","N163","N149",37.2,34.4,"Dentoglobigerina galavisi"
"36","N165","F19254",33.4532971565818,32.7,"Dentoglobigerina sp-Dentoglobigerina galavisi-Dentoglobigerina tapuriensis"
"37","N166","N165",32.7,32.1,"Dentoglobigerina tapuriensis"
"38","N168","F20573",26.1747993420041,25.5,"Dentoglobigerina sellii"
"39","N17","F90190",39.1612807451181,37.3,"Turborotalia pomeroli-Turborotalia increbescens-Turborotalia cerroazulensis"
"40","N171","N165",32.7,32.5,"Dentoglobigerina galavisi"
"41","N172","F22606",29.7456763685378,29.5,"Dentoglobigerina prasaepis-Dentoglobigerina venezuelana-Globoquadrina conglomerata"
"42","N175","N171",32.5,27.3,"Dentoglobigerina galavisi"
"43","N177","N175",27.3,27.2,"Dentoglobigerina galavisi"
"44","N179","N175",27.3,24.1,"Dentoglobigerina larmeui"
"45","N18","F89511",34.8349733941542,34.5,"Turborotalia pomeroli-Turborotalia cerroazulensis"
"46","N182","N2",64.9,62.3,"Parasubbotina aff_pseudobulloides-Parasubbotina varianta"
"47","N184","F68504",61.1258880684707,60.5,"Parasubbotina varianta"
"48","N186","N184",60.5,55.5,"Parasubbotina varianta"
"49","N187","N186",55.5,55.2,"Parasubbotina varianta"
"50","N188","N187",55.2,54.5,"Parasubbotina varianta"
"51","N190","N187",55.2,53.5,"Globorotaloides quadrocameratus"
"52","N191","N188",54.5,46.15,"Paragloborotalia griffinoides"
"53","N193","F64565",34.5016064172075,30.5,"Paragloborotalia pseudocontinuosa-Paragloborotalia nana"
"54","N195","F65045",30.1577431815816,29.8,"Paragloborotalia pseudocontinuosa-Paragloborotalia nana"
"55","N198","N2",64.9,64.87,"Muricohedbergella monmouthensis"
"56","N199","N190",53.5,44.5,"Globorotaloides quadrocameratus"
"57","N2","N256",64.95,64.9,"Muricohedbergella monmouthensis"
"58","N201","N199",44.5,30.4,"Globorotaloides eovariabilis"
"59","N203","N295",15.8,13.8,"Globorotaloides hexagonus"
"60","N206","F43274",43.9987980392273,43.4,"Globorotaloides suteri-Catapsydrax unicavus"
"61","N207","F11571",40.5307850024546,37.9,"Catapsydrax howei"
"62","N21","F89152",33.2947643305291,32.9,"Turborotalia increbescens-Turborotalia ampliapertura"
"63","N210","F44397",40.2149844021886,39.4,"Globorotaloides suteri-Catapsydrax unicavus"
"64","N212","F12949",27.8801757243592,27.5,"Globorotaloides suteri-Catapsydrax unicavus-Catapsydrax dissimilis"
"65","N215","F67672",52.3538964577972,51.5,"Parasubbotina inaequispira"
"66","N217","N215",51.5,49.25,"Parasubbotina inaequispira"
"67","N218","N217",49.25,48.1,"Parasubbotina eoclava"
"68","N220","N218",48.1,47.2,"Clavigerinella eocanica"
"69","N221","N220",47.2,44.6,"Clavigerinella eocanica"
"70","N223","N221",44.6,43.7,"Clavigerinella caucasica-Hantkenina singanoae-Hantkenina mexicana-Hantkenina lehneri-Hantkenina liebusi"
"71","N225","F49125",42.1317692903113,41.3,"Hantkenina liebusi-Hantkenina dumblei"
"72","N227","F49110",40.9776765228738,37.5,"Hantkenina dumblei-Hantkenina compressa-Hantkenina primitiva"
"73","N23","F63110",19.9879219360417,18.8,"Paragloborotalia continuosa"
"74","N231","N217",49.25,47.55,"Parasubbotina inaequispira"
"75","N232","N231",47.55,45.25,"Parasubbotina griffinae"
"76","N235","F67609",46.9588963315816,46.4,"Parasubbotina inaequispira"
"77","N237","F48854",44.3208556442521,43.95,"Guembelitrioides nuttalli"
"78","N239","N237",43.95,43.9,"Globigerinatheka subconglobata"
"79","N240","N239",43.9,43.85,"Globigerinatheka subconglobata"
"80","N241","F30958",39.5510436228097,38,"Globigerinatheka mexicana"
"81","N244","N240",43.85,43.75,"Globigerinatheka subconglobata"
"82","N246","N244",43.75,43,"Globigerinatheka subconglobata"
"83","N248","F30213",39.1418075336423,38.4,"Globigerinatheka index"
"84","N25","N23",18.8,18.3,"Globorotalia praescitula-Globorotalia zealandica"
"85","N251","N239",43.9,43.75,"Globigerinatheka kugleri"
"86","N253","N251",43.75,40.3,"Globigerinatheka curryi-Globigerinatheka euganea"
"87","N256","F58317",65.9406961379829,64.95,"Muricohedbergella monmouthensis"
"88","N257","N256",64.95,64.8,"Eoglobigerina eobulloides"
"89","N259","N257",64.8,63.7,"Subbotina trivialis"
"90","N26","F49633",17.441732872834,15.15,"Globorotalia praescitula-Globorotalia zealandica"
"91","N261","N259",63.7,61.2,"Subbotina trivialis"
"92","N262","F80452",55.6027105987538,55.6,"Subbotina trivialis-Subbotina triangularis"
"93","N264","F79275",49.7167128294054,49.55,"Subbotina roesnaesensis"
"94","N265","N264",49.55,48.4,"Subbotina roesnaesensis"
"95","N267","F76681",47.3774409642839,45.7,"Subbotina eocaena"
"96","N269","F76849",44.1106065457873,42.8,"Subbotina eocaena"
"97","N27","F39004",5.8608925219236,5.3,"Globorotalia miozea-Globorotalia miotumida-Globorotalia conomiozea-Globorotalia terminalis"
"98","N271","F76874",35.7695040974673,33.4,"Subbotina eocaena"
"99","N273","N271",33.4,32.9,"Subbotina sp1"
"100","N276","N265",48.4,47.55,"Subbotina roesnaesensis"
"101","N278","F29010",31.3602538504568,30.5,"Subbotina roesnaesensis-Globigerina officinalis"
"102","N279","N278",30.5,27.6,"Ciperoella ciperoensis-Ciperoella fariasi"
"103","N281","N278",30.5,30.2,"Globigerina officinalis-Globoturborotalita occlusa-Globigerina praebulloides"
